case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek3e-3,0.003000000000000819,24.740042147019622,1.4414590262240456e-06,1.1907344132482587e-06,2.977401699217465e-07,-1.3702750448702615e-06,5.93716214732494e-10,1.1760582208501109e-07
Ek3e-3,0.003000000000000819,25.132741228718345,1.3021679454450873e-06,1.1249578159194532e-06,2.7917959063231627e-07,-1.2899768792827593e-06,-3.9387257523831166e-10,1.1455439984424852e-07
Ek3e-3,0.003000000000000819,25.525440310417068,1.3631490724069579e-06,1.2694336760521233e-06,2.8707655632702317e-07,-1.3741982511561302e-06,-6.671302282767995e-10,1.8297911145129303e-07
Ek3e-3,0.003000000000000819,25.918139392115794,1.1816636327447087e-06,1.0694805221654096e-06,2.545728839104738e-07,-1.2236095805831179e-06,-3.6257339675342385e-10,1.0080639888951883e-07
Ek3e-3,0.003000000000000819,26.310838473814517,1.1978674024261568e-06,1.1574426589943456e-06,2.4958330647296516e-07,-1.268291500751745e-06,-3.0244934196688555e-10,1.390369140575326e-07
Ek3e-3,0.003000000000000819,26.703537555513243,1.1909185471133194e-06,1.0495849173981325e-06,2.540972900317889e-07,-1.2913507617117207e-06,-1.8565336651545346e-09,1.4187979383355365e-08
Ek3e-3,0.003000000000000819,27.096236637211966,1.0148781967322302e-06,1.0458085811266252e-06,2.257418647366204e-07,-1.1346011914332532e-06,-8.164185793879371e-10,1.3776567300938025e-07
Ek3e-3,0.003000000000000819,27.48893571891069,1.0591721759681133e-06,1.1064444372514028e-06,2.3588135383605458e-07,-1.2152065722434453e-06,2.6056866454439275e-10,1.2685865017946769e-07
Ek3e-3,0.003000000000000819,27.881634800609415,9.574408121514452e-07,9.91715459964259e-07,2.1101838929284176e-07,-1.1180158399056822e-06,-1.3130691124463104e-09,8.603107846386484e-08
Ek3e-3,0.003000000000000819,28.274333882308138,1.0242474475854562e-06,1.093245216029105e-06,2.2522914649557284e-07,-1.2181512585490866e-06,-9.198212451060238e-10,1.0124292522069716e-07
Ek3e-3,0.003000000000000819,28.66703296400686,9.214739792350157e-07,1.0446121831890662e-06,2.102684843973347e-07,-1.1296593847217142e-06,-6.218181305113887e-10,1.2584310099519798e-07
Ek3e-3,0.003000000000000819,29.059732045705587,8.690380868527278e-07,9.344519518828449e-07,2.0094077050274273e-07,-1.0935007709293443e-06,-5.178933316798019e-11,4.194374078941158e-08
Ek3e-3,0.003000000000000819,29.45243112740431,8.639099202070249e-07,9.978856961756153e-07,1.981640677529998e-07,-1.0998316014008634e-06,-4.448666565927277e-10,9.66630291843447e-08
Ek3e-3,0.003000000000000819,29.845130209103033,8.448076388060596e-07,9.553641380881733e-07,1.9781710520703252e-07,-1.1054292407890652e-06,-6.31069297853106e-10,4.838307180399399e-08
Ek3e-3,0.003000000000000819,30.23782929080176,8.15775142949919e-07,9.190130681233854e-07,1.8926695508238546e-07,-1.0879876952014964e-06,-6.844893112410448e-10,2.097681731551555e-08
