Ek,time,F_P_h
0.0002,1259.1,0.013984254
0.0002,1259.2,0.0140286871
0.0002,1259.3,0.0140731755
0.0002,1259.4,0.0141175721
0.0002,1259.5,0.0141620025
0.0002,1259.6,0.0142064575
0.0002,1259.7,0.014250878
0.0002,1259.8,0.0142953264
0.0002,1259.9,0.01433975
0.0002,1260.0,0.0143840982
0.0002,1260.1,0.0144284627
0.0002,1260.2,0.014472787
0.0002,1260.3,0.0145171228
0.0002,1260.4,0.0145613043
0.0002,1260.5,0.0146055329
0.0002,1260.6,0.0146497342
0.0002,1260.7,0.0146937429
0.0002,1260.8,0.0147378399
0.0002,1260.9,0.0147816911
0.0002,1261.0,0.014825665
0.0002,1261.1,0.0148695189
0.0002,1261.2,0.0149131915
0.0002,1261.3,0.0149567382
0.0002,1261.4,0.0150003383
0.0002,1261.5,0.0150437564
0.0002,1261.6,0.015087084
0.0002,1261.7,0.015130205
0.0002,1261.8,0.0151732701
0.0002,1261.9,0.0152162366
0.0002,1262.0,0.0152590291
0.0002,1262.1,0.0153017181
0.0002,1262.2,0.015344245
0.0002,1262.3,0.0153866091
0.0002,1262.4,0.0154289096
0.0002,1262.5,0.0154709248
0.0002,1262.6,0.0155127912
0.0002,1262.7,0.0155546196
0.0002,1262.8,0.0155962572
0.0002,1262.9,0.0156376985
0.0002,1263.0,0.0156789853
0.0002,1263.1,0.0157200327
0.0002,1263.2,0.0157609685
0.0002,1263.3,0.0158018432
0.0002,1263.4,0.0158422717
0.0002,1263.5,0.0158828715
0.0002,1263.6,0.0159230771
0.0002,1263.7,0.0159631756
0.0002,1263.8,0.016003039
0.0002,1263.9,0.0160427539
0.0002,1264.0,0.0160823117
0.0002,1264.1,0.0161217305
0.0002,1264.2,0.0161608544
0.0002,1264.3,0.0161998762
0.0002,1264.4,0.0162387347
0.0002,1264.5,0.0162773346
0.0002,1264.6,0.0163158152
0.0002,1264.7,0.0163541004
0.0002,1264.8,0.0163922095
0.0002,1264.9,0.01643016
0.0002,1265.0,0.0164677901
0.0002,1265.1,0.0165053842
0.0002,1265.2,0.0165427574
0.0002,1265.3,0.0165798064
0.0002,1265.4,0.0166168456
0.0002,1265.5,0.0166536888
0.0002,1265.6,0.0166901858
0.0002,1265.7,0.0167265427
0.0002,1265.8,0.0167626966
0.0002,1265.9,0.0167987429
0.0002,1266.0,0.0168344262
0.0002,1266.1,0.0168699863
0.0002,1266.2,0.0169052887
0.0002,1266.3,0.016940352
0.0002,1266.4,0.0169751732
0.0002,1266.5,0.0170097962
0.0002,1266.6,0.0170440767
0.0002,1266.7,0.0170780661
0.0002,1266.8,0.0171119458
0.0002,1266.9,0.0171454434
0.0002,1267.0,0.0171786105
0.0002,1267.1,0.0172115811
0.0002,1267.2,0.0172442568
0.0002,1267.3,0.0172765484
0.0002,1267.4,0.0173085405
0.0002,1267.5,0.0173402419
0.0002,1267.6,0.0173715776
0.0002,1267.7,0.0174025326
0.0002,1267.8,0.0174331817
0.0002,1267.9,0.0174635473
0.0002,1268.0,0.0174934649
0.0002,1268.1,0.0175229818
0.0002,1268.2,0.0175523077
0.0002,1268.3,0.0175810945
0.0002,1268.4,0.0176095766
0.0002,1268.5,0.0176377615
0.0002,1268.6,0.0176653642
0.0002,1268.7,0.0176928066
0.0002,1268.8,0.0177197799
0.0002,1268.9,0.0177464189
0.0002,1269.0,0.0177725457
0.0002,1269.1,0.0177984471
0.0002,1269.2,0.0178237982
0.0002,1269.3,0.0178488844
0.0002,1269.4,0.0178735194
0.0002,1269.5,0.0178978355
0.0002,1269.6,0.0179217265
0.0002,1269.7,0.0179453195
0.0002,1269.8,0.0179684532
0.0002,1269.9,0.017991276
0.0002,1270.0,0.0180136057
0.0002,1270.1,0.0180357091
0.0002,1270.2,0.018057366
0.0002,1270.3,0.0180786797
0.0002,1270.4,0.0180995932
0.0002,1270.5,0.0181202946
0.0002,1270.6,0.0181405433
0.0002,1270.7,0.0181604213
0.0002,1270.8,0.0181799993
0.0002,1270.9,0.0181992111
0.0002,1271.0,0.0182180867
0.0002,1271.1,0.0182366155
0.0002,1271.2,0.0182546672
0.0002,1271.3,0.0182726433
0.0002,1271.4,0.018290165
0.0002,1271.5,0.0183073448
0.0002,1271.6,0.0183241605
0.0002,1271.7,0.0183407271
0.0002,1271.8,0.0183569885
0.0002,1271.9,0.0183728348
0.0002,1272.0,0.0183884651
0.0002,1272.1,0.0184036923
0.0002,1272.2,0.0184186796
0.0002,1272.3,0.0184333891
0.0002,1272.4,0.0184477088
0.0002,1272.5,0.0184617947
0.0002,1272.6,0.0184755248
0.0002,1272.7,0.0184891402
0.0002,1272.8,0.0185021936
0.0002,1272.9,0.0185152612
0.0002,1273.0,0.0185279285
